rank	head	essay_frequency	batch_index
1281	狂	13792	3
1282	使用	13703	3
1283	直至	13703	3
1284	碼頭	13703	3
1285	韻	13703	3
1286	思考	13615	3
1287	認得	13615	3
1288	醉	13615	3
1289	觀衆	13551	3
1290	交換	13526	3
1291	宅	13526	3
1292	條件	13526	3
1293	湯	13526	3
1294	皮膚	13526	3
1295	研究	13526	3
1296	聯絡	13526	3
1297	腦	13526	3
1298	其它	13451	3
1299	好感	13437	3
1300	西裝	13437	3
1301	請問	13437	3
1302	代碼	13418	3
1303	丸	13348	3
1304	任務	13348	3
1305	專心	13348	3
1306	注意	13348	3
1307	年紀	13259	3
1308	恐懼	13259	3
1309	情	13259	3
1310	會話	13259	3
1311	柒	13259	3
1312	鋪	13259	3
1313	隨即	13259	3
1314	什麼	13170	3
1315	傷口	13170	3
1316	劈	13170	3
1317	捱	13170	3
1318	消息	13170	3
1319	相處	13170	3
1320	自覺	13170	3
1321	表現	13170	3
1322	道歉	13170	3
1323	道理	13170	3
1324	遲到	13170	3
1325	劫	13081	3
1326	揮手	13081	3
1327	枉	13081	3
1328	樹林	13081	3
1329	滴	13081	3
1330	無數	13081	3
1331	燒	13081	3
1332	破壞	13081	3
1333	補習	13081	3
1334	餅	13081	3
1335	農民	13047	3
1336	尤其	12992	3
