rank	head	essay_frequency	direct_syn_tails
938	手錶	4093	1
939	捉實	4093	0
940	枕	4093	1
941	男神	4093	0
942	直程	4093	0
943	直落	4093	0
944	相識	4093	0
945	耳機	4093	1
946	虧佬	4093	0
947	近排	4093	0
948	除衫	4093	0
949	麻甩佬	4093	0
950	點睇	4093	0
951	補丁	4087	0
952	三文治	4004	0
953	下便	4004	0
954	不知幾	4004	0
955	唔多唔少	4004	0
956	執起	4004	0
957	對門	4004	1
958	怪獸	4004	0
959	打圈	4004	0
960	殺人	4004	0
961	毛蟲	4004	1
962	無端端	4004	0
963	生仔	4004	0
964	草叢	4004	1
965	落街	4004	0
966	蛋蛋	4004	0
967	負面	4004	1
968	過份	4004	0
969	酒精	4004	1
970	阿麗	4004	0
971	審計	3975	1
972	話費	3975	1
973	稍等	3971	0
974	文件夾	3934	0
975	下一個	3915	0
976	九龍	3915	0
977	人嚟	3915	0
978	共鳴	3915	1
979	剩返	3915	0
980	各種	3915	0
981	咕	3915	0
982	回歸	3915	0
983	小矮人	3915	0
984	扐	3915	0
985	打畀	3915	0
986	搖搖板	3915	0
987	未夠	3915	0
988	沙沙	3915	1
989	眼定定	3915	0
990	立法	3915	1
991	總部	3915	1
992	閉上	3915	0
993	傻佬	3826	0
994	冇幾耐	3826	0
995	口交	3826	0
996	叮叮	3826	0
997	呷醋	3826	0
998	啤住	3826	0
999	壓住	3826	0
1000	望下	3826	0
1001	死心	3826	0
1002	流眼淚	3826	0
1003	用嚟	3826	0
1004	發洩	3826	0
1005	貴族	3826	0
1006	邊位	3826	0
1007	金色	3826	1
1008	阿仔	3826	0
1009	鬧交	3826	0
1010	看上去	3775	1
1011	存檔	3754	1
1012	庫存	3747	1
1013	兔子	3741	1
1014	單手	3737	0
1015	嗌交	3737	0
1016	四肢	3737	1
1017	壺	3737	1
1018	大大力	3737	0
1019	好眼	3737	0
1020	客服	3737	0
1021	小息	3737	0
1022	小隊	3737	0
1023	沙律	3737	0
1024	瘀	3737	0
1025	紋身	3737	0
1026	紫	3737	1
1027	肉酸	3737	0
1028	轉校	3737	0
1029	離家出走	3737	0
1030	眼裏	3722	1
1031	單元	3652	0
1032	兩粒	3648	0
1033	八月	3648	1
1034	反轉	3648	1
1035	坐監	3648	0
1036	姣	3648	0
1037	宗教	3648	1
1038	慳	3648	0
1039	我架	3648	0
1040	整到	3648	0
1041	正所謂	3648	0
1042	牠	3648	0
1043	睇穿	3648	0
1044	緣份	3648	0
1045	試問	3648	1
1046	開會	3648	0
1047	頸鍊	3648	0
1048	魚蛋	3648	0
1049	是以	3609	0
1050	國內外	3601	0
1051	考研	3565	1
1052	一腳踢	3559	0
1053	九月	3559	0
1054	傻豬	3559	0
1055	冇心	3559	0
1056	勢力	3559	1
1057	士多	3559	0
1058	好勁	3559	0
1059	娘親	3559	0
1060	市民	3559	1
1061	探員	3559	0
1062	步行	3559	1
1063	眼白白	3559	0
1064	等如	3559	0
1065	背住	3559	0
1066	荃灣	3559	0
1067	蔔	3559	0
1068	製	3559	0
1069	貢	3559	1
1070	輔導	3559	0
1071	追上	3559	0
1072	雞翼	3559	0
1073	測量	3552	1
1074	斑竹	3550	1
1075	得很	3529	0
1076	一本	3470	0
1077	乸	3470	0
1078	冷汗	3470	0
1079	合埋	3470	0
1080	咁滯	3470	0
1081	好地地	3470	0
1082	孭	3470	0
1083	小食	3470	0
1084	愈嚟愈	3470	0
1085	日出	3470	0
1086	日落	3470	0
1087	澈	3470	0
1088	甜筒	3470	0
