rank	head	essay_frequency	batch_index	direct_syn_tails
890	構建	4342	5	0
891	欄目	4292	5	0
892	一如	4271	5	0
893	下低	4271	5	0
894	不再	4271	5	1
895	佈	4271	5	0
896	八卦	4271	5	0
897	八爪魚	4271	5	0
898	制度	4271	5	1
899	前便	4271	5	0
900	十二點	4271	5	0
901	可能性	4271	5	1
902	喥	4271	5	0
903	嗰次	4271	5	0
904	好多時	4271	5	0
905	收銀	4271	5	0
906	每人	4271	5	1
907	睡衣	4271	5	1
908	花灑	4271	5	0
909	話事	4271	5	0
910	陪住	4271	5	0
911	靚靚	4271	5	0
912	車型	4212	5	0
913	世紀	4182	5	1
914	凳仔	4182	5	0
915	嘈交	4182	5	0
916	因住	4182	5	0
917	埋位	4182	5	0
918	大隻佬	4182	5	0
919	揹	4182	5	0
920	收聲	4182	5	0
921	昇	4182	5	0
922	有講有笑	4182	5	0
923	琳	4182	5	1
924	紅蘿蔔	4182	5	1
925	老味	4182	5	0
926	肥妹	4182	5	0
927	起勢	4182	5	0
928	醜樣	4182	5	0
929	門鐘	4182	5	0
930	鬆一口氣	4182	5	0
931	長得	4107	5	0
932	兩下	4093	5	0
933	冷衫	4093	5	0
934	匿埋	4093	5	0
935	好耐	4093	5	0
936	廁紙	4093	5	0
937	得切	4093	5	0
938	手錶	4093	5	1
939	捉實	4093	5	0
940	枕	4093	5	1
941	男神	4093	5	0
942	直程	4093	5	0
943	直落	4093	5	0
944	相識	4093	5	0
945	耳機	4093	5	1
946	虧佬	4093	5	0
947	近排	4093	5	0
948	除衫	4093	5	0
949	麻甩佬	4093	5	0
950	點睇	4093	5	0
951	補丁	4087	5	0
952	三文治	4004	5	0
953	下便	4004	5	0
954	不知幾	4004	5	0
955	唔多唔少	4004	5	0
956	執起	4004	5	0
957	對門	4004	5	1
958	怪獸	4004	5	0
959	打圈	4004	5	0
960	殺人	4004	5	0
961	毛蟲	4004	5	1
962	無端端	4004	5	0
963	生仔	4004	5	0
964	草叢	4004	5	1
965	落街	4004	5	0
966	蛋蛋	4004	5	0
967	負面	4004	5	1
968	過份	4004	5	0
969	酒精	4004	5	1
970	阿麗	4004	5	0
971	審計	3975	5	1
972	話費	3975	5	1
973	稍等	3971	5	0
974	文件夾	3934	5	0
975	下一個	3915	5	0
976	九龍	3915	5	0
977	人嚟	3915	5	0
978	共鳴	3915	5	1
979	剩返	3915	5	0
980	各種	3915	5	0
981	咕	3915	5	0
982	回歸	3915	5	0
983	小矮人	3915	5	0
984	扐	3915	5	0
985	打畀	3915	5	0
986	搖搖板	3915	5	0
