phase	literal	pos	family	voice	note	trust	stratum	verdict	fix_pos	fix_family	fix_voice	audit_note
p0	夫婦	n			cow-single	low	low|low|plain					
p0	好處	n			cow-single	low	low|low|plain					
p0	婚禮	n			cow-single	low	low|low|plain					
p0	子虛烏有	n			cow-single	low	low|low|plain					
p0	安慰	n,v			cow-nv-unreviewed;trust-low	low	low|low|plain					
p0	完整	n			cow-single	low	low|low|plain					
p0	客人	n			cow-single	low	low|low|plain					
p0	容易	n			cow-single	low	low|low|plain					
p0	實在	n			cow-single	low	low|low|plain					
p0	寶寶	n			cow-single	low	low|low|plain					
p0	尊重	n,v			cow-nv-unreviewed;trust-low	low	low|low|plain					
p0	尼	n			cow-single	low	low|low|plain					
p0	崩潰	n,v			cow-nv-unreviewed;trust-low	low	low|low|plain					
p0	平日	n			cow-single	low	low|low|plain					
p0	幼稚	n			cow-single	low	low|low|plain					
p0	引	v			cow-single	low	low|low|plain					
p0	強調	n,v			cow-nv-unreviewed;trust-low	low	low|low|plain					
p0	彩虹	n			cow-single	low	low|low|plain					
p0	後期	n			cow-single	low	low|low|plain					
p0	微生物	n			cow-single	low	low|low|plain					
p0	心情	n			cow-single	low	low|low|plain					
p0	快餐	n			cow-single	low	low|low|plain					
p0	怒火	n			cow-single	low	low|low|plain					
p0	性情	n			cow-single	low	low|low|plain					
p0	恐懼	n			cow-single	low	low|low|plain					
p0	想起	v			cow-single	low	low|low|plain					
p0	愛人	n			cow-single	low	low|low|plain					
p0	愛好者	n			cow-single	low	low|low|plain					
p0	憎恨	n,v			cow-nv-unreviewed;trust-low	low	low|low|plain					
p0	所有權	n			cow-single	low	low|low|plain					
p0	手套	n			cow-single	low	low|low|plain					
p0	手工藝品	n			cow-single	low	low|low|plain					
p0	打電話	v			cow-single	low	low|low|plain					
p0	扣除	n,v			cow-nv-unreviewed;trust-low	low	low|low|plain					
p0	把持	v			cow-single	low	low|low|plain					
p0	抗議	n,v			cow-nv-unreviewed;trust-low	low	low|low|plain					
p0	折扣	n			cow-single	low	low|low|plain					
p0	拋	v			cow-single	low	low|low|plain					
p0	推動	v			cow-single	low	low|low|plain					
p0	揮霍無度	v			cow-single	low	low|low|plain					
p0	撤退	v			cow-single	low	low|low|plain					
p0	攝影師	n			cow-single	low	low|low|plain					
p0	收盤	v			cow-single	low	low|low|plain					
p0	放寬	n			cow-single	low	low|low|plain					
p0	放肆	n,v			cow-nv-unreviewed;trust-low	low	low|low|plain					
p0	教授	n,v			cow-nv-unreviewed;trust-low	low	low|low|plain					
p0	整理	n,v			cow-nv-unreviewed;trust-low	low	low|low|plain					
p0	敵人	n			cow-single	low	low|low|plain					
p0	斧頭	n			cow-single	low	low|low|plain					
p0	新娘	n			cow-single	low	low|low|plain					
p0	方法	n			cow-single	low	low|low|plain					
p0	日出	n			cow-single	low	low|low|plain					
p0	星期六	n			cow-single	low	low|low|plain					
p0	會話	n			cow-single	low	low|low|plain					
p0	有用	n,v			cow-nv-unreviewed;trust-low	low	low|low|plain					
p0	有關	n,v			cow-nv-unreviewed;trust-low	low	low|low|plain					
p0	本能	n			cow-single	low	low|low|plain					
p0	材料	n			cow-single	low	low|low|plain					
p0	核心	n			cow-single	low	low|low|plain					
p0	核聚變	n			cow-single	low	low|low|plain					
p0	條件反射	n			cow-single	low	low|low|plain					
p0	槍彈	n			cow-single	low	low|low|plain					
p0	機會	n			cow-single	low	low|low|plain					
p0	櫻花	n			cow-single	low	low|low|plain					
p0	款式	n			cow-single	low	low|low|plain					
p0	殺	v			cow-single	low	low|low|plain					
p0	每年	a			cow-single	low	low|low|plain					
p0	毒癮	n			cow-single	low	low|low|plain					
p0	毗鄰	v			cow-single	low	low|low|plain					
p0	水桶	n			cow-single	low	low|low|plain					
p0	水池	n			cow-single	low	low|low|plain					
p0	氾濫	n,v			cow-nv-unreviewed;trust-low	low	low|low|plain					
p0	波	n			cow-single	low	low|low|plain					
p0	流出	n,v			cow-nv-unreviewed;trust-low	low	low|low|plain					
p0	海灘	n			cow-single	low	low|low|plain					
p0	消瘦	n			cow-single	low	low|low|plain					
p0	涼鞋	n			cow-single	low	low|low|plain					
p0	淚水	n			cow-single	low	low|low|plain					
p0	渡過	v			cow-single	low	low|low|plain					
p0	游水	v			cow-single	low	low|low|plain					
p0	溜	v			cow-single	low	low|low|plain					
p0	滋味	n			cow-single	low	low|low|plain					
p0	滑	v			cow-single	low	low|low|plain					
p0	濕	n			cow-single	low	low|low|plain					
p0	煙霧	n			cow-single	low	low|low|plain					
p0	熊	n			cow-single	low	low|low|plain					
p0	牀上用品	n			cow-single	low	low|low|plain					
p0	牛仔褲	n			cow-single	low	low|low|plain					
p0	特寫鏡頭	n			cow-single	low	low|low|plain					
p0	環	n			cow-single	low	low|low|plain					
p0	當時	n			cow-single	low	low|low|plain					
p0	疤痕	n			cow-single	low	low|low|plain					
p0	病人	n			cow-single	low	low|low|plain					
p0	皮膚	n			cow-single	low	low|low|plain					
p0	真的	a			cow-single	low	low|low|plain					
p0	眼皮	n			cow-single	low	low|low|plain					
p0	硝化甘油	n			cow-single	low	low|low|plain					
p0	碗	n			cow-single	low	low|low|plain					
p0	礦物燃料	n			cow-single	low	low|low|plain					
p0	程度	n			cow-single	low	low|low|plain					
p0	空	n			cow-single	low	low|low|plain					
p0	空間	n			cow-single	low	low|low|plain					
p0	穿梭	v			cow-single	low	low|low|plain					
p0	突擊	n			cow-single	low	low|low|plain					
p0	窮	a			cow-single	low	low|low|plain					
p0	等於	v			cow-single	low	low|low|plain					
p0	筷子	n			cow-single	low	low|low|plain					
p0	節	n			cow-single	low	low|low|plain					
p0	精神	n			cow-single	low	low|low|plain					
p0	純淨	n			cow-single	low	low|low|plain					
p0	結局	n			cow-single	low	low|low|plain					
p0	經紀人	n,v			cow-nv-unreviewed;trust-low	low	low|low|plain					
p0	練習	n			cow-single	low	low|low|plain					
p0	缸	n			cow-single	low	low|low|plain					
p0	翅膀	n			cow-single	low	low|low|plain					
p0	考試	n			cow-single	low	low|low|plain					
p0	聯	v			cow-single	low	low|low|plain					
p0	聽話	v			cow-single	low	low|low|plain					
p0	胡言亂語	n			cow-single	low	low|low|plain					
p0	腦袋	n			cow-single	low	low|low|plain					
p0	舅父	n			cow-single	low	low|low|plain					
p0	英寸	n			cow-single	low	low|low|plain					
p0	處女	n			cow-single	low	low|low|plain					
